#{"t_start": 1713322795.2058969, "env_id": "None"}
r,l,t
-24855.0,20000,8.206926
-48535.0,20000,23.106185
1060.0,20000,38.496561
-4559.0,20000,53.593185
-4793.0,20000,68.659512
-37937.0,20000,84.435257
864.0,20000,99.16455
-33098.0,20000,113.792374
3290.0,20000,128.634172
-112817.0,20000,143.678717
-24559.0,20000,158.262872
-10965.0,20000,173.46966
2779.0,20000,188.440145
-59982.0,20000,203.435361
-118801.0,20000,218.183808
-14423.0,20000,233.428323
-12620.0,20000,249.004982
-30115.0,20000,1277.717609
-28858.0,20000,1576.543436
136.0,20000,1590.890547
-20803.0,20000,2532.994489
-7334.0,20000,5432.198068
-23319.0,20000,9058.951054
-31814.0,20000,9077.849442
-15901.0,20000,9093.268228
-26222.0,20000,9098.983537
-2640.0,20000,9104.594488
-12064.0,20000,9110.184398
-3285.0,20000,9115.779402
598.0,20000,9121.406033
174.0,20000,9126.958759
-2010.0,20000,9132.530068
-28911.0,20000,9138.135814
-29036.0,20000,9143.700287
-30011.0,20000,9149.328736
118.0,20000,9154.923197
-547.0,20000,9160.529244
167.0,20000,9166.178734
-1253.0,20000,9171.79625
-6482.0,20000,9177.442869
-3134.0,20000,9183.038399
-20153.0,20000,9197.86196
-868.0,20000,9213.600694
176.0,20000,9227.95528
503.0,20000,9242.561143
3271.0,20000,9257.261677
-232166.0,20000,9271.046871
-283667.0,20000,9285.237585
-21994.0,20000,9298.850848
-199846.0,20000,9312.927805
-75617.0,20000,9326.913504
1243.0,20000,9340.802612
-896.0,20000,9354.740721
-60818.0,20000,9368.753572
-8112.0,20000,9383.327762
1835.0,20000,9397.468207
-121067.0,20000,9411.522888
237.0,20000,9425.825885
-41974.0,20000,9440.385428
-23731.0,20000,9454.318143
-39455.0,20000,9468.432491
-53818.0,20000,9482.761625
103.0,20000,9496.723552
-1500.0,20000,9510.803035
-852.0,20000,9524.98282
-4066.0,20000,9539.206956
880.0,20000,9544.971462
-297.0,20000,9550.746126
2101.0,20000,9556.421761
-90593.0,20000,9562.046512
1245.0,20000,9567.709872
-1426.0,20000,9573.363268
-26885.0,20000,9578.989791
2075.0,20000,9584.71679
-3641.0,20000,9590.32466
-1126.0,20000,9595.958253
-22886.0,20000,9601.621354
-36366.0,20000,9607.423613
-152730.0,20000,9613.223531
-1987.0,20000,9618.839106
-18528.0,20000,9624.516336
2147.0,20000,9630.200348
-64614.0,20000,9644.865205
1035.0,20000,9667.010389
1777.0,20000,9686.47842
-2487.0,20000,9706.076837
-13579.0,20000,9724.689129
1734.0,20000,9747.523503
3377.0,20000,9771.358382
-394240.0,20000,9791.924957
-134567.0,20000,9809.434698
-2983.0,20000,9837.233271
4480.0,20000,9861.487893
