#{"t_start": 1720427740.0798342, "env_id": "None"}
r,l,t
117.0,1024,0.926485
150.0,1024,2.008677
193.0,1024,2.702855
188.0,1024,3.338811
246.0,1024,3.990566
164.0,1024,4.645745
170.0,1024,5.28376
290.0,1024,5.911562
315.0,1024,6.533817
364.0,1024,7.159691
107.0,1024,7.953737
239.0,1024,8.588726
468.0,1024,9.229066
270.0,1024,9.845761
1.0,1024,10.466689
220.0,1024,11.101233
301.0,1024,11.742128
314.0,1024,12.364564
-738.0,1024,13.015544
-123.0,1024,13.697563
-276.0,1024,14.531094
-154.0,1024,15.277015
254.0,1024,16.236584
454.0,1024,16.967975
-146.0,1024,17.793123
217.0,1024,18.506746
218.0,1024,19.163459
404.0,1024,19.90226
429.0,1024,20.563953
401.0,1024,21.197195
352.0,1024,21.919654
-1254.0,1024,22.595414
157.0,1024,23.296938
349.0,1024,23.937728
196.0,1024,24.578965
-823.0,1024,25.211735
-374.0,1024,25.892457
131.0,1024,26.537695
136.0,1024,27.190424
21.0,1024,27.862402
-277.0,1024,28.532096
330.0,1024,29.278113
358.0,1024,29.921869
219.0,1024,30.588863
317.0,1024,31.308512
252.0,1024,32.114276
484.0,1024,32.783352
